username,body_weight,date,exercise,total_weight_lifted,weight_lifted
john_doe,185,3/25/2025,Deadlift,1060,265
john_doe,185,3/25/2025,Bench,620,155
john_doe,185,3/26/2025,Squat,900,225
john_doe,185,3/27/2025,Deadlift,1080,270
john_doe,185,3/29/2025,Squat,900,225
john_doe,185,3/29/2025,Bench,620,155
john_doe,185,3/30/2025,Squat,920,230
john_doe,185,3/30/2025,Deadlift,1100,275
john_doe,185,3/31/2025,Bench,660,165
john_doe,185,4/1/2025,Squat,920,230
john_doe,185,4/2/2025,Deadlift,1100,275
john_doe,185,4/3/2025,Bench,680,170
john_doe,185,4/3/2025,Deadlift,1120,280
john_doe,185,4/4/2025,Squat,940,235
john_doe,185,4/5/2025,Deadlift,1140,285
john_doe,185,4/5/2025,Bench,680,170
john_doe,185,4/7/2025,Squat,980,245
john_doe,185,4/7/2025,Bench,680,170
john_doe,185,4/8/2025,Deadlift,1140,285
john_doe,185,4/9/2025,Bench,680,170
john_doe,185,4/11/2025,Squat,980,245
john_doe,185,4/12/2025,Bench,700,175
john_doe,185,4/12/2025,Squat,980,245
john_doe,185,4/14/2025,Deadlift,1160,290
john_doe,185,4/14/2025,Bench,700,175
john_doe,185,4/15/2025,Squat,1000,250
john_doe,185,4/16/2025,Bench,700,175
john_doe,185,4/16/2025,Deadlift,1160,290
john_doe,185,4/18/2025,Squat,1020,255
john_doe,185,4/18/2025,Bench,740,185
john_doe,185,4/19/2025,Deadlift,1180,295
john_doe,185,4/20/2025,Bench,740,185
john_doe,185,4/22/2025,Squat,1040,260
john_doe,185,4/22/2025,Deadlift,1200,300
john_doe,185,4/23/2025,Squat,1040,260
jane_smith,135,3/25/2025,Deadlift,960,240
jane_smith,135,3/25/2025,Bench,520,130
jane_smith,135,3/26/2025,Squat,800,200
jane_smith,135,3/27/2025,Deadlift,980,245
jane_smith,135,3/29/2025,Squat,800,200
jane_smith,135,3/29/2025,Bench,520,130
jane_smith,135,3/30/2025,Squat,820,205
jane_smith,135,3/30/2025,Deadlift,1000,250
jane_smith,135,3/31/2025,Bench,560,140
jane_smith,135,4/1/2025,Squat,820,205
jane_smith,135,4/2/2025,Deadlift,1000,250
jane_smith,135,4/3/2025,Bench,580,145
jane_smith,135,4/3/2025,Deadlift,1020,255
jane_smith,135,4/4/2025,Squat,840,210
jane_smith,135,4/5/2025,Deadlift,1040,260
jane_smith,135,4/5/2025,Bench,580,145
jane_smith,135,4/7/2025,Squat,880,220
jane_smith,135,4/7/2025,Bench,580,145
jane_smith,135,4/8/2025,Deadlift,1040,260
jane_smith,135,4/9/2025,Bench,580,145
jane_smith,135,4/11/2025,Squat,880,220
jane_smith,135,4/12/2025,Bench,600,150
jane_smith,135,4/12/2025,Squat,880,220
jane_smith,135,4/14/2025,Deadlift,1060,265
jane_smith,135,4/14/2025,Bench,600,150
jane_smith,135,4/15/2025,Squat,900,225
jane_smith,135,4/16/2025,Bench,600,150
jane_smith,135,4/16/2025,Deadlift,1060,265
jane_smith,135,4/18/2025,Squat,920,230
jane_smith,135,4/18/2025,Bench,640,160
jane_smith,135,4/19/2025,Deadlift,1080,270
jane_smith,135,4/20/2025,Bench,640,160
jane_smith,135,4/22/2025,Squat,940,235
jane_smith,135,4/22/2025,Deadlift,1100,275
jane_smith,135,4/23/2025,Squat,940,235
emma_stone,150,3/25/2025,Deadlift,860,215
emma_stone,150,3/25/2025,Bench,420,105
emma_stone,150,3/26/2025,Squat,700,175
emma_stone,150,3/27/2025,Deadlift,880,220
emma_stone,150,3/29/2025,Squat,700,175
emma_stone,150,3/29/2025,Bench,420,105
emma_stone,150,3/30/2025,Squat,720,180
emma_stone,150,3/30/2025,Deadlift,900,225
emma_stone,150,3/31/2025,Bench,460,115
emma_stone,150,4/1/2025,Squat,720,180
emma_stone,150,4/2/2025,Deadlift,900,225
emma_stone,150,4/3/2025,Bench,480,120
emma_stone,150,4/3/2025,Deadlift,920,230
emma_stone,150,4/4/2025,Squat,740,185
emma_stone,150,4/5/2025,Deadlift,940,235
emma_stone,150,4/5/2025,Bench,480,120
emma_stone,150,4/7/2025,Squat,780,195
emma_stone,150,4/7/2025,Bench,480,120
emma_stone,150,4/8/2025,Deadlift,940,235
emma_stone,150,4/9/2025,Bench,480,120
emma_stone,150,4/11/2025,Squat,780,195
emma_stone,150,4/12/2025,Bench,500,125
emma_stone,150,4/12/2025,Squat,780,195
emma_stone,150,4/14/2025,Deadlift,960,240
emma_stone,150,4/14/2025,Bench,500,125
emma_stone,150,4/15/2025,Squat,800,200
emma_stone,150,4/16/2025,Bench,500,125
emma_stone,150,4/16/2025,Deadlift,960,240
emma_stone,150,4/18/2025,Squat,820,205
emma_stone,150,4/18/2025,Bench,540,135
emma_stone,150,4/19/2025,Deadlift,980,245
emma_stone,150,4/20/2025,Bench,540,135
emma_stone,150,4/22/2025,Squat,840,210
emma_stone,150,4/22/2025,Deadlift,1000,250
emma_stone,150,4/23/2025,Squat,840,210
